id;material_id;material_tag_id;created_at;updated_at;;
1;14;1;16-10-2020 21:56;16-10-2020 21:56;;
2;15;1;16-10-2020 21:56;16-10-2020 21:56;;
3;53;1;16-10-2020 21:56;16-10-2020 21:56;;
4;51;1;16-10-2020 21:56;16-10-2020 21:56;;
5;34;1;16-10-2020 21:56;16-10-2020 21:56;;
6;43;1;16-10-2020 21:56;16-10-2020 21:56;;
7;46;1;16-10-2020 21:56;16-10-2020 21:56;;
8;30;1;16-10-2020 21:56;16-10-2020 21:56;;
9;22;1;16-10-2020 21:56;16-10-2020 21:56;;
11;25;1;17-10-2020 08:48;17-10-2020 08:48;;
14;66;1;0000-00-00 00:00:00;0000-00-00 00:00:00;;
17;36;1;0000-00-00 00:00:00;0000-00-00 00:00:00;;
18;38;1;0000-00-00 00:00:00;0000-00-00 00:00:00;;
19;31;1;0000-00-00 00:00:00;0000-00-00 00:00:00;;
20;49;1;0000-00-00 00:00:00;0000-00-00 00:00:00;;
21;1;1;0000-00-00 00:00:00;0000-00-00 00:00:00;;
24;3;1;0000-00-00 00:00:00;0000-00-00 00:00:00;;
28;8;1;0000-00-00 00:00:00;0000-00-00 00:00:00;;
31;58;1;0000-00-00 00:00:00;0000-00-00 00:00:00;;
34;62;1;0000-00-00 00:00:00;0000-00-00 00:00:00;;
37;45;4;0000-00-00 00:00:00;0000-00-00 00:00:00;;
38;37;4;0000-00-00 00:00:00;0000-00-00 00:00:00;;
39;39;4;0000-00-00 00:00:00;0000-00-00 00:00:00;;
40;33;4;0000-00-00 00:00:00;0000-00-00 00:00:00;;
41;50;4;0000-00-00 00:00:00;0000-00-00 00:00:00;;
42;55;5;0000-00-00 00:00:00;0000-00-00 00:00:00;;
43;35;5;0000-00-00 00:00:00;0000-00-00 00:00:00;;
44;24;5;0000-00-00 00:00:00;0000-00-00 00:00:00;;
45;28;5;0000-00-00 00:00:00;0000-00-00 00:00:00;;
46;69;5;0000-00-00 00:00:00;0000-00-00 00:00:00;;
47;16;2;0000-00-00 00:00:00;0000-00-00 00:00:00;;
48;17;2;0000-00-00 00:00:00;0000-00-00 00:00:00;;
49;7;3;0000-00-00 00:00:00;0000-00-00 00:00:00;;
52;11;3;0000-00-00 00:00:00;0000-00-00 00:00:00;;
55;41;3;0000-00-00 00:00:00;0000-00-00 00:00:00;;
56;42;3;0000-00-00 00:00:00;0000-00-00 00:00:00;;
57;32;2;0000-00-00 00:00:00;0000-00-00 00:00:00;;
122;20;6;0000-00-00 00:00:00;0000-00-00 00:00:00;;
123;21;6;0000-00-00 00:00:00;0000-00-00 00:00:00;;
124;18;6;0000-00-00 00:00:00;0000-00-00 00:00:00;;
125;5;6;0000-00-00 00:00:00;0000-00-00 00:00:00;;
126;56;6;0000-00-00 00:00:00;0000-00-00 00:00:00;;
127;12;6;0000-00-00 00:00:00;0000-00-00 00:00:00;;
128;40;6;0000-00-00 00:00:00;0000-00-00 00:00:00;;
129;29;6;0000-00-00 00:00:00;0000-00-00 00:00:00;;
130;57;6;0000-00-00 00:00:00;0000-00-00 00:00:00;;
131;13;6;0000-00-00 00:00:00;0000-00-00 00:00:00;;
132;23;3;0000-00-00 00:00:00;0000-00-00 00:00:00;;
133;27;3;0000-00-00 00:00:00;0000-00-00 00:00:00;;
134;61;3;0000-00-00 00:00:00;0000-00-00 00:00:00;;
135;65;3;0000-00-00 00:00:00;0000-00-00 00:00:00;;
136;68;3;0000-00-00 00:00:00;0000-00-00 00:00:00;;
137;2;4;0000-00-00 00:00:00;0000-00-00 00:00:00;;
138;6;4;0000-00-00 00:00:00;0000-00-00 00:00:00;;
139;10;4;0000-00-00 00:00:00;0000-00-00 00:00:00;;
140;52;4;0000-00-00 00:00:00;0000-00-00 00:00:00;;
141;60;4;0000-00-00 00:00:00;0000-00-00 00:00:00;;
142;64;4;0000-00-00 00:00:00;0000-00-00 00:00:00;;
143;4;2;0000-00-00 00:00:00;0000-00-00 00:00:00;;
144;9;2;0000-00-00 00:00:00;0000-00-00 00:00:00;;
145;44;2;0000-00-00 00:00:00;0000-00-00 00:00:00;;
146;47;2;0000-00-00 00:00:00;0000-00-00 00:00:00;;
147;59;2;0000-00-00 00:00:00;0000-00-00 00:00:00;;
148;63;2;0000-00-00 00:00:00;0000-00-00 00:00:00;;
149;67;2;0000-00-00 00:00:00;0000-00-00 00:00:00;;
150;26;2;0000-00-00 00:00:00;0000-00-00 00:00:00;;
151;54;1;0000-00-00 00:00:00;0000-00-00 00:00:00;;
152;48;4;0000-00-00 00:00:00;0000-00-00 00:00:00;;
153;19;6;0000-00-00 00:00:00;0000-00-00 00:00:00;;